id,exercise_name,videoURL,steps,Category,Difficulty,Force,Grips,target,youtubeURL,details,Aka
10,Biceps Stretch Variation Two,"['https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-2-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-2-side.mp4#t=0.1']","[""Stand facing the wall, an arm's width away."", 'Place your hand on the wall with your fingers pointing down.', 'Lean slightly into the wall to feel the stretch in your bicep.']",Stretches,Beginner,,None,{'Primary': ['Biceps']},,,
11,Biceps Stretch Variation One,"['https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-1-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-1-side.mp4#t=0.1']","['Stand one foot in front of the other with the wall to your right, an arms width away.', 'Place your hand on the wall, fingers pointing away from you.', 'Gently lean forward, keeping your hand stationary.', 'Repeat with the other arm.']",Stretches,Beginner,,None,{'Primary': ['Biceps']},,,
12,Cable Twisting Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-cable-twisting-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-cable-twisting-curl-side.mp4#t=0.1']","['Use a handle attachment. The cable should be set all the way to the bottom of the machine.', 'Face away from the cable machine. Stagger your stance so you have a better base of support.', 'Start with a neutral grip. Flex at the elbow. While flexing twist your palm. When you hit the top of the movement your palm should be facing upward.']",Cables,Advanced,,,{'Primary': ['Biceps']},,,
13,Cable Bayesian Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-cable-bayesian-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-cable-bayesian-curl-side.mp4#t=0.1']","['Use a handle attachment. The cable should be set all the way to the bottom of the machine.', 'Face away from the cable machine.', 'Stagger your stance so you have a better base of support. Face your palm forward. Flex at the elbow and extend.']",Cables,Beginner,Pull,Underhand,{'Primary': ['Biceps']},,,
14,Cable Reverse Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-cable-reverse-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-cable-reverse-curl-side.mp4#t=0.1']","['Use a handle attachment. The cable should be set all the way to the bottom of the machine.', 'Face away from the cable machine. Stagger your stance so you have a better base of support.', 'Face your palm downwards. Flex at the elbow and extend.']",Cables,Intermediate,,,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,,
15,Cable Hammer Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-cable-hammer-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-cable-hammer-curl-side.mp4#t=0.1']","['Use a handle attachment. The cable should be set all the way to the bottom of the machine.', 'Face away from the cable machine. Stagger your stance so you have a better base of support.', 'Use a neutral grip thumb facing up pinky-facing down). Flex at the elbow and extend.']",Cables,Beginner,Pull,Neutral,{'Primary': ['Biceps']},https://www.youtube.com/embed/tvRlfjjH5NA,,
16,Band Bayesian Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-side.mp4#t=0.1']","['Attach band to a low anchor point. Point your palms straight forward.', 'Flex your elbow until you feel your biceps contract. Then fully extend elbows.']",Band,Beginner,,,{'Primary': ['Biceps']},,,
17,Band Bayesian Hammer Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-hammer-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-hammer-curl-side.mp4#t=0.1']","['Attach band to a low anchor point. Use a neutral grip.', 'Flex your elbow until you feel your biceps contract. Then fully extend elbows.']",Band,Intermediate,,,"{'Primary': ['Biceps', 'Forearms']}",https://www.youtube.com/embed/tvRlfjjH5NA,,
18,Band Bayesian Reverse Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-side.mp4#t=0.1']","['Attach band to a low anchor point. . Point your palms toward your thighs.', 'Flex your elbow until you feel your biceps contract. Then fully extend elbows.']",Band,Intermediate,,,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,,
19,Dumbbell Reverse Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-reverse-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-reverse-curl-side.mp4#t=0.1']","[""Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if it's more comfortable on your wrists."", 'Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.']",Dumbbells,Intermediate,Pull,Overhand,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,,
20,Barbell Reverse Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-curl-side.mp4#t=0.1']","[""Take a double overhand grip that's about shoulder width. Flex your elbows while keeping your elbows tucked in. Try not to let them flare out."", 'Curl until your forearm presses into your bicep. Then fully extend your elbows at the bottom of each rep.']",Barbell,Advanced,Pull,Overhand,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,"

Barbell Reverse Curl: A Comprehensive Guide
Setup

Select a barbell with the appropriate weight for your strength level
Stand with your feet shoulder-width apart and grip the barbell with a shoulder-width overhand grip
Keep your arms straight and the barbell hanging at arm's length in front of your thighs

How to Perform

Breathe in and tighten your core
Curl the barbell upwards towards your chest, keeping your upper arms stationary and your elbows tucked in close to your torso
Hold the contraction at the top for a count of one
Lower the barbell back down to the starting position with control, inhaling as you do so
Repeat the movement for the desired number of reps

Technique

Keep your movements smooth and controlled throughout the exercise
Avoid using momentum to swing the barbell up and down
Keep your head and neck in a neutral position, looking straight ahead and avoiding any unnecessary neck strain
Engage your shoulder blades and keep your shoulders down and away from your ears

Things to Avoid

Using a weight that is too heavy and sacrificing form
Arching your back or swaying excessively
Locking out your elbows at the top of the movement
Allowing your elbows to flare out to the sides

",
21,Dumbbell Incline Hammer Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-hammer-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-hammer-curl-side.mp4#t=0.1']","['Hold the dumbbells with a neutral grip (thumbs facing the ceiling). Seated on an incline bench.', 'Slowly lift the dumbbell up to chest height', 'Return to starting position and repeat.']",Dumbbells,Beginner,Pull,Neutral,{'Primary': ['Biceps']},https://www.youtube.com/embed/tvRlfjjH5NA,,
22,Dumbbell Incline Reverse Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-reverse-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-reverse-curl-side.mp4#t=0.1']","['Lay on an incline bench.', ""Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if it's more comfortable on your wrists."", 'Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.']",Dumbbells,Beginner,Pull,Overhand,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,,
23,Dumbbell Incline Zottman Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-zottman-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-zottman-curl-side.mp4#t=0.1']","['Lay on an incline bench with your palms facing forward.', 'Flex at the elbows until your forearms touch your biceps.', 'When you hit the top of the movement, rotate your palms and then lower the dumbbells slowly.']",Dumbbells,Intermediate,Pull,Rotating,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,,
24,Dumbbell Single Arm Preacher Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-preacher-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-preacher-curl-side.mp4#t=0.1']","['Start with a with a dumbbell in one hand and your elbow resting on the bench.', 'From this starting position, curl the dumbbell up towards your shoulder, keeping your upper arm stationary on the bench.']",Dumbbells,Beginner,Pull,Underhand,{'Primary': ['Biceps']},,,
25,Dumbbell Single Arm Spider Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-spider-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-spider-curl-side.mp4#t=0.1']","['Lay on an incline or preacher curl bench.', 'Let your arms hang freely off the edge of the bench.', 'Fully flex your elbow and fully extend your elbow on each rep.']",Dumbbells,Beginner,Pull,Underhand,{'Primary': ['Biceps']},,,
26,Dumbbell Spider Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-spider-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-spider-curl-side.mp4#t=0.1']","['Start by placing your forearms on a flat bench and holding a dumbbell in each hand.', 'From this starting position, curl the dumbbells up towards your shoulders, keeping your elbows close to your body and your core engaged.', 'Slowly lower the dumbbells back down to the starting position, and repeat for the desired number of repetitions.']",Dumbbells,Beginner,Pull,Underhand,{'Primary': ['Biceps']},,,
27,Dumbbell Twisting Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-twisting-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-twisting-curl-side.mp4#t=0.1']","['Start by standing with your feet shoulder-width apart and holding a dumbbell in each hand.', 'Bring the dumbbells to your sides, with your palms facing inward and your elbows bent.', 'From this starting position, curl the dumbbells up towards your shoulders while rotating your wrists so that your palms face your shoulders at the top of the movement.']",Dumbbells,Beginner,Pull,Rotating,{'Primary': ['Biceps']},,,
28,Plate Bicep Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-plate-bicep-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-plate-bicep-curl-side.mp4#t=0.1']",[],Plate,Beginner,Pull,Neutral,{'Primary': ['Biceps']},,,
29,Plate Curl To Overhead Press,"['https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-front_kQDPle2.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-side.mp4#t=0.1']","['Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward.', 'Curl the plate up to the front of the shoulder while keeping the elbows close to the body.', 'Rotate the palms to face forward and press the plate overhead, locking out the arms.', 'Lower the plate back to the starting position, keeping control of it, and repeat for desired reps.']",Plate,Intermediate,Push,Neutral,"{'Primary': ['Biceps'], 'Secondary': ['Shoulders']}",,,
30,Plate Curl To Overhead Press To Tricep Extension,"['https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-to-tricep-extension-front_LMFCnKf.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-to-tricep-extension-side_ax0yvwM.mp4#t=0.1']","['Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward.', 'Curl the plate up to the front of the shoulder while keeping the elbows close to the body.', 'Rotate the palms to face forward and press the plate overhead, locking out the arms.', 'Lower the plate back behind the head to the starting position of a tricep extension.', 'Push the plate back up overhead, then lower it back to the starting position and repeat for desired reps.']",Plate,Advanced,,Neutral,"{'Primary': ['Biceps', 'Triceps'], 'Secondary': ['Shoulders']}",,,
31,Plate Squat Hold Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-hold-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-hold-curl-side.mp4#t=0.1']","['Lower into a squat position, keeping the plate at chest height.', 'Slowly curl the plate towards your shoulders, keeping your elbows close to your body.', 'Hold for a moment at the top of the curl before lowering the plate back to chest height.', 'Repeat the curls as you hold the squat position.']",Plate,Intermediate,,,"{'Primary': ['Biceps'], 'Secondary': ['Quads', 'Glutes']}",,,
32,Band High Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-curl-side.mp4#t=0.1']","['Anchor a band to a high point.', 'Start with your feet staggered and your elbows high.', 'Flex your elbows while keeping your arms high. Curl the band to your forehead.']",Band,Beginner,Pull,Underhand,{'Primary': ['Biceps']},,,
33,Band High Hammer Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-hammer-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-hammer-curl-side.mp4#t=0.1']","['Start with the band anchored to something high with your feet staggered and a neutral grip.', 'Keep your elbows high. Curl until your fists are at your forehead.']",Band,Beginner,Pull,Neutral,{'Primary': ['Biceps']},https://www.youtube.com/embed/tvRlfjjH5NA,,
34,Band High Reverse Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-reverse-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-reverse-curl-side.mp4#t=0.1']","['Start with a band attached to a high point, your feet staggered, and an overhand grip.', 'Flex your elbows pulling your forearms to your biceps. Your fists should land by your forehead.']",Band,Intermediate,Pull,Overhand,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,,
35,Band Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-front_1YwVVEx.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-side_qegXZDv.mp4#t=0.1']","['Stand with your feet shoulder-width apart, with the band under both feet.', 'Grasp the handles of the band with both hands, keeping your arms straight and extended in front of you.', 'Keep your back straight, abs engaged, and shoulders relaxed as you curl your hands towards your shoulders, bending at the elbows.']",Band,Beginner,Pull,Underhand,{'Primary': ['Biceps']},,,
36,Band Reverse Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-front_iQSuy66.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-side_Cez320W.mp4#t=0.1']","['Start by standing on the center of the band with both feet, shoulder-width apart.', 'Hold the band with both hands, palms facing down, arms extended straight in front of you.', 'Slowly curl your hands towards your shoulders, pulling the band tight, then lower your arms back to the starting position, keeping tension on the band throughout the exercise.']",Band,Intermediate,Pull,Overhand,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,,
37,Dumbbell Concentration Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-concentration-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-concentration-curl-side.mp4#t=0.1']","['Sit on a flat bench with your feet flat on the floor and your back straight.', 'Lean forward and place your elbow on the inside of your leg.', 'Curl the dumbbell while keeping your elbow against your leg. Make sure to fully extend your elbow on each rep.']",Dumbbells,Beginner,Pull,Underhand,{'Primary': ['Biceps']},,,
38,TRX Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-trx-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-trx-curl-side.mp4#t=0.1']","['Hold the TRX straps with an underhand grip and lean back and away from the anchor point.', 'Keep your elbows high as you flex your elbows. Pull your fists toward your forehead.']",TRX,Beginner,Pull,Underhand,{'Primary': ['Biceps']},,,
39,TRX Hammer Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-trx-hammer-curl-side.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-trx-hammer-curl-front.mp4#t=0.1']","['Grab the TRX straps and lean away from the anchor point.', 'Maintain a neutral grip. Flex your elbows and pull your fists to either sides of your temples.']",TRX,Beginner,Pull,,{'Primary': ['Biceps']},https://www.youtube.com/embed/tvRlfjjH5NA,,
40,TRX Reverse Curl,"['https://media.musclewiki.com/media/uploads/videos/branded/male-trx-reverse-curl-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-trx-reverse-curl-side.mp4#t=0.1']","['Stand facing the TRX straps and grasp the handles with both hands, palms facing away from your body.', 'Walk back until the straps are taut, keeping your arms straight.', 'Slowly curl your hands towards your shoulders, keeping your elbows close to your body.']",TRX,Intermediate,Pull,Overhand,"{'Primary': ['Biceps'], 'Secondary': ['Forearms']}",,,
41,Barbell Landmine Row,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-landmine-row-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-landmine-row-side.mp4#t=0.1']","['Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart.', 'Grasp the end of the barbell with a neutral grip, keeping your arms straight and your shoulders relaxed.', 'Bend at the hips and knees to lower your torso until it is almost parallel to the ground.', 'Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.']",Barbell,Intermediate,Pull,Overhand,"{'Primary': ['Lats', 'Mid back'], 'Secondary': ['Biceps'], 'Tertiary': ['Forearms']}",,,
42,Chin Ups,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-chinup-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-chinup-side.mp4#t=0.1']","['Grab the bar shoulder width apart with a supinated grip (palms facing you)', 'With your body hanging and arms fully extended, pull yourself up until your chin is past the bar.', 'Slowly return to starting position. Repeat.']",Bodyweight,Intermediate,Pull,Underhand,"{'Primary': ['Lats'], 'Secondary': ['Biceps'], 'Tertiary': ['Forearms']}",https://www.youtube.com/embed/y6x0AIhgjsM,"
How To Perform The Chin UpSetupGrab the Chin Up bar with an underhand grip. Make sure the bars are set very deeply in your hand. Your palms should be making contact with the bar. Next, if you are using a bench or box to reach the Chin Up bars, step off of the step, and hold for a second, in a dead hang position. If you begin initiating the reps before the dead hang, you might swing too much to perform the exercise strictly. If you can reach the bars without having to stand on anything, take your grip and then pull your feet slightly off the floor. Still hold for a second to prevent any swinging from happening.Pull your shoulder blades down. This will engage your mid and lower traps and force your lats to do most of the work. Also, before beginning the first rep, make sure your elbows are extended.Lower bodyAngle your legs forward slightly, push your hips back, and point your toes. This will force you to flex your abdominals and keep you more stable throughout the rep. (This will massively help you keep the reps strict).PerformingOnce you are in the proper position, begin to pull. Imagine trying to pull your elbows straight down to your sides.Get your chin over the bar before beginning the eccentric portion of the rap. Your elbows should fully extend at the bottom of each rep.Progressing The Chin UpDecide on a rep range. For example, 6 to 10. Once you are able to perform 10 reps with strict form, then it is time to progress. Do not be shy or hesitant to start adding weight early on. Even if it is only 5 pounds. Progress is progress! From there, progress like you would any other exercise. Once you hit the top end of the rep range, add some more weight.The best way to get better at doing Chin Ups is to do Chin Ups. But if you can't do them in the first place, then what should you do? Try the Neutral Grip Chin Up. It’s an easier variation because the lats are in their strongest position.Shorten the range of motion, and try to get a longer range of motion overtime. if you can only do half a Chin Up, (meaning you can get your elbows to roughly 90°) don't be ashamed to do those half reps. Set a rep range like with anything else. We will use 5 to 8 reps for this example. Once you are able to hit 8 of the half reps, try to go an extra 2 to 3 inches higher on each rep. You won't be able to do 8 when you advance the range of motion. So Build your way back up to 8. It helps massively if you can do this in front of a mirror to keep a very close eye on your range of motion. Before long you'll be able to perform full reps.
",
43,Band Kneeling Single Arm Pulldown,"['https://media.musclewiki.com/media/uploads/videos/branded/male-band-kneeling-single-arm-pulldown-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-band-kneeling-single-arm-pulldown-side.mp4#t=0.1']","['Place the band at about eye level. Fall into a kneeling position.', 'The knee that is on the ground should be the same side as the working arm. Stick your chest out.', 'And then pull your elbow straight back. Flex your lats and then extend into the starting position.']",Band,Beginner,,,"{'Primary': ['Lats'], 'Secondary': ['Biceps']}",,,
44,Barbell Long Landmine Row,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-long-landmine-row-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-long-landmine-row-side.mp4#t=0.1']","['Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart.', 'Grasp the end of the barbell with an overhand grip, keeping your arms straight and your shoulders relaxed.', 'Bend at the hips and knees to lower your torso until it is almost parallel to the ground.', 'Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.']",Barbell,Advanced,Pull,Neutral,"{'Primary': ['Lats'], 'Secondary': ['Biceps'], 'Tertiary': ['Forearms']}",,,
45,Barbell Meadows Row,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-meadows-row-side.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-meadows-row-front.mp4#t=0.1']","['Position a barbell in a landmine or corner of a room and stand facing sideways with a staggered stance and your feet shoulder-width apart.', 'Grasp the end of the barbell with an overhand grip, keeping your arms straight and your shoulders relaxed.', 'Bend at the hips and knees to lower your torso until it is almost parallel to the ground.', 'Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.', '*Named after the late John Meadows']",Barbell,Intermediate,Pull,Overhand,"{'Primary': ['Lats'], 'Secondary': ['Biceps'], 'Tertiary': ['Forearms']}",,,
